ROWID,Country,State lgd code,State,YearCode,Year,Type of area,Age group,Gender,Literacy rate
93,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,person,75.4
94,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,female,68.8
95,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,male,85
96,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,person,77
97,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,female,69.1
98,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,male,84
99,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,person,76.7
100,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,female,70.5
101,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,male,85.8
102,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,person,78.3
103,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,female,77.6
104,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,male,87.6
105,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,person,82.8
106,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,female,78.7
107,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,male,89.5
108,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,person,84.4
109,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,female,70.8
110,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,male,87.1
111,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,persons,79.2
112,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,female,72.7
113,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,male,89.5
114,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,persons,81.4
115,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,female,71.8
116,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,male,87.3
117,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,persons,79.8
118,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,female,73.8
119,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,male,89.6
120,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,persons,82
121,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,female,76
122,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,male,88
123,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,persons,82.2
124,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,female,78.3
125,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,male,89.8
126,India,1,Jammu And Kashmir,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,persons,84.3
127,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,female,79.5
128,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,male,90.7
129,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,person,85
130,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,female,79.3
131,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,male,91.4
132,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,person,85.2
133,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,female,80.3
134,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,male,91.3
135,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,person,85.7
136,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,female,80.1
137,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,male,91.9
138,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,person,85.9
139,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,female,88.6
140,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,male,95.3
141,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,person,92.3
142,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,female,89
143,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,male,95.5
144,India,2,Himachal Pradesh,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,person,92.6
145,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,female,79.4
146,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,male,92
147,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,person,85.7
148,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,female,79.1
149,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,male,92.3
150,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,person,85.6
151,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,female,80.2
152,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,male,92.5
153,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,person,86.4
154,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,female,80
155,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,male,92.8
156,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,person,86.3
157,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,female,88.1
158,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,male,96.4
159,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,person,92.6
160,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,female,88.5
161,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,male,97
162,India,2,Himachal Pradesh,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,person,93.1
163,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,female,78.8
164,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,male,92
165,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,person,85.2
166,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,female,79.4
167,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,male,92.6
168,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,person,85.8
169,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,female,80
170,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,male,92.3
171,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,person,85.9
172,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,female,80.5
173,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,male,93.2
174,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,person,86.6
175,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,female,88.4
176,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,male,93.8
177,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,person,91.2
178,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,female,88.1
179,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,male,96.3
180,India,2,Himachal Pradesh,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,person,92.4
181,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,female,79.8
182,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,male,93.2
183,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,person,86.4
184,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,female,79.9
185,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,male,93.9
186,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,person,86.8
187,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,female,80.9
188,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,male,93.3
189,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,person,87.1
190,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,female,81.1
191,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,male,94
192,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,person,87.5
193,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,female,91.7
194,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,male,94.9
195,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,person,93.4
196,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,female,92.5
197,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,male,95.6
198,India,2,Himachal Pradesh,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,person,94.1
199,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,female,79.6
200,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,male,91
201,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,person,85.1
202,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,female,80.2
203,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,male,92.6
204,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,person,86.2
205,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,female,80.8
206,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,male,91.3
207,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,person,86
208,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,female,81.4
209,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,male,92.9
210,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,person,87
211,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,female,93
212,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,male,94.1
213,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,person,93.6
214,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,female,93.2
215,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,male,95.9
216,India,2,Himachal Pradesh,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,person,94.7
217,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,female,81.2
218,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,male,93.5
219,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,person,87.3
220,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,female,81.3
221,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,male,94.2
222,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,person,87.7
223,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,female,82
224,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,male,93.3
225,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,person,87.6
226,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,female,82.2
227,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,male,94.1
228,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,person,88.1
229,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,female,89.6
230,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,male,91.6
231,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,person,90.6
232,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,female,90.4
233,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,male,93.4
234,India,2,Himachal Pradesh,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,person,91.9
235,India,2,Himachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,female,81.7
236,India,2,Himachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,male,93.8
237,India,2,Himachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,persons,87.6
238,India,2,Himachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,female,82.1
239,India,2,Himachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,male,94.3
240,India,2,Himachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,persons,88.1
241,India,2,Himachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,female,82.7
242,India,2,Himachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,male,94
243,India,2,Himachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,persons,88.3
244,India,2,Himachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,female,83.1
245,India,2,Himachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,male,94.6
246,India,2,Himachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,persons,88.8
247,India,2,Himachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,female,90.3
248,India,2,Himachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,male,95.6
249,India,2,Himachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,persons,93.2
250,India,2,Himachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,female,91.1
251,India,2,Himachal Pradesh,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,male,96.6
